"Name","State","Notes","User","Tags","Created","Runtime","Sweep","graph_type","model","src","target","-early-stopping-epoch","-training-loss","-validation-loss","source-accuracy","target-accuracy"
"egi-poisson-unclustered-clustered-8","finished","-","niklasdewally","","2023-05-23T12:03:14.000Z","18","","poisson","egi","unclustered","clustered","14","-0.31663423776626587","0.03907264769077301","0.6820083682008368","0.6712328767123288"
"egi-poisson-unclustered-clustered-7","finished","-","niklasdewally","","2023-05-23T12:02:50.000Z","22","","poisson","egi","unclustered","clustered","23","-0.47584107518196106","-0.0963110402226448","0.6485355648535565","0.5707762557077626"
"egi-poisson-unclustered-clustered-6","finished","-","niklasdewally","","2023-05-23T12:02:34.000Z","14","","poisson","egi","unclustered","clustered","4","-0.2307807207107544","0.036115795373916626","0.5271966527196653","0.6712328767123288"
"egi-poisson-unclustered-clustered-5","finished","-","niklasdewally","","2023-05-23T12:02:13.000Z","18","","poisson","egi","unclustered","clustered","17","-0.43329763412475586","0.06689232587814331","0.6108786610878661","0.593607305936073"
"egi-poisson-unclustered-clustered-4","finished","-","niklasdewally","","2023-05-23T12:01:42.000Z","28","","poisson","egi","unclustered","clustered","33","-0.5326548218727112","0.16120228171348572","0.6401673640167364","0.593607305936073"
"egi-poisson-unclustered-clustered-3","finished","-","niklasdewally","","2023-05-23T12:01:15.000Z","25","","poisson","egi","unclustered","clustered","29","-0.3797072768211365","-0.003177642822265625","0.6150627615062761","0.5981735159817352"
"egi-poisson-unclustered-clustered-2","finished","-","niklasdewally","","2023-05-23T12:00:51.000Z","22","","poisson","egi","unclustered","clustered","22","-0.4251117110252381","-0.09920088201761246","0.6401673640167364","0.502283105022831"
"egi-poisson-unclustered-clustered-1","finished","-","niklasdewally","","2023-05-23T12:00:27.000Z","22","","poisson","egi","unclustered","clustered","22","-0.4666476249694824","-0.055176228284835815","0.5523012552301255","0.4246575342465753"
"egi-poisson-unclustered-clustered-0","finished","-","niklasdewally","","2023-05-23T12:00:05.000Z","20","","poisson","egi","unclustered","clustered","19","-0.30658620595932007","0.15234217047691345","0.6485355648535565","0.593607305936073"
"egi-poisson-clustered-unclustered-9","finished","-","niklasdewally","","2023-05-23T11:59:48.000Z","15","","poisson","egi","clustered","unclustered","6","-0.005340335890650749","406.1147155761719","0.6221672847136382","0.3950413223140496"
"egi-poisson-clustered-unclustered-8","finished","-","niklasdewally","","2023-05-23T11:59:28.000Z","18","","poisson","egi","clustered","unclustered","11","0.00788690336048603","167.01962280273438","0.37546315356113624","0.6058605035080479"
"egi-poisson-clustered-unclustered-7","finished","-","niklasdewally","","2023-05-23T11:59:07.000Z","19","","poisson","egi","clustered","unclustered","13","0.027753977105021477","422.6488037109375","0.6032072368421053","0.39173553719008264"
