"Name","ID","State","Notes","User","Group","Job Type","Tags","Created","Updated","End Time","Runtime","Sweep","Hostname","Description","Commit","GitHub","GPU Count","GPU Type","encoder-batchsize","encoder-epochs","encoder-hidden-layers","encoder-lr","encoder-min-delta","encoder-patience","source-dataset","target-dataset","encoder-epoch","source-classifier-accuracy","target-classifier-accuracy","% Difference","training-loss","validation-loss","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-edges","target-nodes","target-transitivity","-early-stopping-epoch","-stopping-epoch","-training-loss","-validation-loss"
"egi-k4-9","p3047efk","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:40:02.000Z","2023-05-29T22:44:16.000Z","2023-05-29T22:44:16.000Z","254","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.53","0.6412213740458015","20.98516491430216","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","14","","-2.5770387649536133","-0.018969476222991943"
"egi-k4-8","gmp1ukj8","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:35:34.000Z","2023-05-29T22:40:00.000Z","2023-05-29T22:40:00.000Z","266","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.53","0.732824427480916","38.26875990205962","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","15","","-2.605107307434082","-0.4604541063308716"
"egi-k4-7","8gsdymvi","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:30:44.000Z","2023-05-29T22:35:32.000Z","2023-05-29T22:35:32.000Z","288","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.42","0.7480916030534351","78.117048346056","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","17","","-3.923092842102051","-0.2268657088279724"
"egi-k4-6","7p0rklmh","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:26:27.000Z","2023-05-29T22:30:42.000Z","2023-05-29T22:30:42.000Z","255","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.54","0.6259541984732825","15.917444161718972","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","14","","-1.0284028053283691","57.39655685424805"
"egi-k4-5","s1edoqms","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:20:15.000Z","2023-05-29T22:26:25.000Z","2023-05-29T22:26:25.000Z","370","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.51","0.6717557251908397","31.71680886094896","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","26","","-3.6044723987579346","-0.4191527366638184"
"egi-k4-4","ynxjgbtr","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:15:55.000Z","2023-05-29T22:20:12.000Z","2023-05-29T22:20:12.000Z","257","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.58","0.7786259541984732","34.24585417215057","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","14","","-1.562758207321167","-0.33724597096443176"
"egi-k4-3","tmmuzo48","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:09:34.000Z","2023-05-29T22:15:53.000Z","2023-05-29T22:15:53.000Z","379","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.51","0.7709923664122137","51.1749738063164","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","27","","-3.4357447624206543","-0.12330514192581175"
"egi-k4-2","lpinr6ju","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:06:52.000Z","2023-05-29T22:09:32.000Z","2023-05-29T22:09:32.000Z","160","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.44","0.6335877862595419","43.99722414989589","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","4","","-1.130385398864746","0.0985300838947296"
"egi-k4-1","v8nctwl4","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T22:02:21.000Z","2023-05-29T22:06:49.000Z","2023-05-29T22:06:49.000Z","268","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.43","0.7175572519083969","66.87377951358067","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","16","","-1.8565163612365725","-0.12342262268066406"
"egi-k4-0","7ly8nmrd","finished","-","niklasdewally","Run: 20230529T1109","","","2023-05-29T21:58:10.000Z","2023-05-29T22:02:18.000Z","2023-05-29T22:02:18.000Z","248","","84346a77f289","","","","1","NVIDIA GeForce RTX 3060","50","100","32","0.01","0.01","10","europe","brazil","","0.49","0.7709923664122137","57.34538090045178","","","4","egi","-0.22479390365950935","0.5392721549504013","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","1074","131","0.44974650483945305","13","","-3.686806917190552","0.856545627117157"
