"Name","State","Notes","User","Tags","Created","Runtime","Sweep","global_config.LR","global_config.batch_size","global_config.epochs","global_config.hidden_layers","global_config.min_delta","global_config.n_runs","global_config.patience","k-hops","model","source-assortativity","source-avg_clustering_coefficient","source-dataset","source-edges","source-nodes","source-transitivity","target-assortativity","target-avg_clustering_coefficient","target-dataset","target-edges","target-nodes","target-transitivity","% Difference","-early-stopping-epoch","-training-loss","-validation-loss","source-classifier-accuracy","target-classifier-accuracy"
"egi-k4-14","finished","-","niklasdewally","","2023-06-06T13:45:22.000Z","293","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","21.08449591997894","33","-3.6966161727905273","0.35566776990890503","0.58","0.7022900763358778"
"egi-k4-13","finished","-","niklasdewally","","2023-06-06T13:43:20.000Z","120","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","25.30606366124153","6","-2.241105556488037","0.29846373200416565","0.53","0.6641221374045801"
"egi-k4-12","finished","-","niklasdewally","","2023-06-06T13:39:55.000Z","203","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","34.7103726986978","19","-4.2197771072387695","1.225862979888916","0.51","0.6870229007633588"
"egi-k4-11","finished","-","niklasdewally","","2023-06-06T13:35:56.000Z","237","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","73.97479140777563","24","-2.2642881870269775","1.5313067436218262","0.43","0.7480916030534351"
"egi-k4-10","finished","-","niklasdewally","","2023-06-06T13:33:01.000Z","172","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","39.94910941475827","14","-3.9797794818878174","2.5970215797424316","0.48","0.6717557251908397"
"egi-k4-9","finished","-","niklasdewally","","2023-06-06T13:29:29.000Z","210","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","54.33123133089942","20","-2.6667275428771973","3.832515239715576","0.46","0.7099236641221374"
"egi-k4-8","finished","-","niklasdewally","","2023-06-06T13:23:16.000Z","370","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","34.62873004857737","45","-5.084454536437988","-0.30914172530174255","0.55","0.7404580152671756"
"egi-k4-7","finished","-","niklasdewally","","2023-06-06T13:19:33.000Z","221","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","18.197488303373554","22","-3.7027573585510254","0.3361492156982422","0.62","0.732824427480916"
"egi-k4-6","finished","-","niklasdewally","","2023-06-06T13:15:35.000Z","235","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","23.865764078928407","24","-1.6254494190216064","1.611415982246399","0.53","0.6564885496183206"
"egi-k4-5","finished","-","niklasdewally","","2023-06-06T13:12:48.000Z","165","","0.01","50","100","32","0.01","20","10","4","egi","-0.22479390365950935","0.5392721549504013","europe","5995","399","0.3336572559883388","-0.23919103725632007","0.6363550051815452","brazil","1074","131","0.44974650483945305","30.29744669649909","13","-1.9854599237442017","17.63071060180664","0.58","0.7557251908396947"
